,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,3408,USDC,USDC,usd-coin,20895,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,33974674743.981728,33974674743.981728,False,,6,,,,2024-07-10T16:34:00.000Z,0.999970060176235,5437253962.333346,-4.2946,-0.01773469,-0.00609723,0.00428888,-0.00180272,0.00170514,0.00297192,33973657548.20742,1.5868,33973657548.21,,2024-07-10T16:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-10 10:36:54.193818
6,52,XRP,XRP,xrp,1351,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55723063839.0,99987471767.0,False,,7,,,,2024-07-10T16:35:00.000Z,0.4333616651017392,969102962.5359875,-6.0942,0.21555226,0.20422234,-7.40613989,-13.79597751,-14.53624033,-28.36700487,24148239729.83955,1.1279,43336166510.17,,2024-07-10T16:35:00.000Z,,,,,,2024-07-10 10:36:54.193818
7,11419,Toncoin,TON,toncoin,454,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2506216414.7805457,5108804699.005074,True,,8,3414166606.0,24892120886.089172,,2024-07-10T16:34:00.000Z,7.290833681737784,230490179.16289246,-11.6416,0.33671713,0.2206839,-7.36904353,1.51853169,6.79524059,0.71366765,18272407050.606113,0.8534,37247445372.93,,2024-07-10T16:34:00.000Z,,,,,,2024-07-10 10:36:54.193818
8,74,Dogecoin,DOGE,dogecoin,1021,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145060196383.7052,145060196383.7052,True,,9,,,,2024-07-10T16:35:00.000Z,0.11013491788278322,556379406.9401075,-9.017,0.60263645,2.01583385,-7.46181416,-24.52121427,-24.0728063,-42.47532827,15976192816.77978,0.7462,15976192816.78,,2024-07-10T16:35:00.000Z,,,,,,2024-07-10 10:36:54.193818
9,2010,Cardano,ADA,cardano,1210,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35872092219.259,37034995407.59,False,,10,,,,2024-07-10T16:34:00.000Z,0.38671185187689916,259853680.87137818,-11.8042,0.63098977,3.30968557,-5.47792872,-12.94971288,-12.85093356,-33.19633799,13872163212.808554,0.6479,17402033334.46,,2024-07-10T16:34:00.000Z,,,,,,2024-07-10 10:36:54.193818
10,1958,TRON,TRX,tron,999,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87143010504.68529,87143059277.18208,True,,11,71659659264.0,9402472818.086346,,2024-07-10T16:34:00.000Z,0.1312101245618106,275175730.24697226,-11.6217,0.00275689,1.5306695,1.67114861,11.91639075,4.07497721,9.92769886,11434045263.010927,0.5341,11434051662.46,,2024-07-10T16:34:00.000Z,,,,,,2024-07-10 10:36:54.193818
11,5805,Avalanche,AVAX,avalanche,750,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394393250.7682646,443739620.7682646,False,,12,,,,2024-07-10T16:34:00.000Z,26.45727224237484,287662744.0582675,-21.5802,0.69757067,3.14735983,-1.93866565,-19.24833532,-21.80174504,-42.33313098,10434569606.131187,0.4874,18936758715.71,,2024-07-10T16:34:00.000Z,,,,,,2024-07-10 10:36:54.193818
12,5994,Shiba Inu,SHIB,shiba-inu,844,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270821510430.0,589519289430517.6,False,,13,,,,2024-07-10T16:34:00.000Z,1.6546211238223e-05,249752320.06183907,-20.0531,0.3416398,1.28589384,-0.08261641,-28.86367963,-27.35507705,-39.45958912,9750199489.232777,0.4554,9754310691.92,,2024-07-10T16:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-10 10:36:54.193818
13,6636,Polkadot,DOT,polkadot-new,792,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1467213108.953746,9034751141.511189,,2024-07-10T16:34:00.000Z,6.157763372189178,176682842.6565079,-13.3504,0.58905327,0.47743291,-0.8238562,-5.51603225,-8.50684995,-25.24862496,8854576970.592564,0.4136,8854576970.59,,2024-07-10T16:34:00.000Z,,,,,,2024-07-10 10:36:54.193818
14,1975,Chainlink,LINK,chainlink,1813,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-10T16:34:00.000Z,12.980466131267397,303167839.53421026,-20.8647,1.03112095,0.46297445,-9.97624511,-19.11882626,-4.07129937,-24.16122023,7893421070.887102,0.3687,12980466131.27,,2024-07-10T16:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-10 10:36:54.193818
0,1,Bitcoin,BTC,bitcoin,11595,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19719809.0,19719809.0,False,,1,,,,2024-07-10T16:37:00.000Z,57934.965886011225,27062331517.24822,-3.8874,0.1347039,0.66442877,-4.00473824,-16.96859463,-5.34228969,-16.9114504,1142466461693.6572,53.3515,1216634283606.24,,2024-07-10T16:37:00.000Z,,,,,,2024-07-10 10:37:54.793155
1,1027,Ethereum,ETH,ethereum,9126,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120207304.75118561,120207304.75118561,True,,2,,,,2024-07-10T16:36:00.000Z,3136.9159081860867,14531108686.392857,-9.997,0.79887061,2.1103254,-5.19153231,-14.91229095,7.18042695,-10.15571646,377080206554.1671,17.6118,377080206554.17,,2024-07-10T16:36:00.000Z,,,,,,2024-07-10 10:37:54.793155
2,825,Tether USDt,USDT,tether,91272,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112259808785.14278,116076856616.98984,True,,3,,,,2024-07-10T16:36:00.000Z,0.999967043227223,49363992030.39137,-9.1731,0.00770641,-0.02545963,0.12881014,0.0156718,0.01909207,-0.02046409,112256109064.13264,5.243,116073031098.4,,2024-07-10T16:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-10 10:37:54.793155
